Clean Alternative Fuel Vehicle Type,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,Primary Use,Electric Range,New or Used Vehicle,Transaction Type,Transaction Date,Year,County,City,State,Postal Code
Battery Electric Vehicle (BEV),YSMET3KA6P,220770133,2023,POLESTAR,PS2,Passenger,0,Used,Registration Renewal,October 19 2023,2023,King,SEATTLE,WA,98144
Battery Electric Vehicle (BEV),WP0AC2Y14N,198499829,2022,PORSCHE,Taycan,Passenger,0,Used,Registration Renewal,April 22 2023,2023,King,MERCER ISLAND,WA,98040
Plug-in Hybrid Electric Vehicle (PHEV),7JRBR0FM5M,152569931,2021,VOLVO,S60,Passenger,22,New,Original Title,June 10 2021,2021,King,MERCER ISLAND,WA,98040
Battery Electric Vehicle (BEV),3C3CFFGE7K,231096995,2019,FIAT,500,Passenger,84,Used,Original Title,March 03 2023,2023,King,SHORELINE,WA,98133
Plug-in Hybrid Electric Vehicle (PHEV),WMZ23BS06P,241373828,2023,MINI,Countryman,Passenger,17,New,Original Title,June 21 2023,2023,King,SEATTLE,WA,98144
Plug-in Hybrid Electric Vehicle (PHEV),7JRBR0FZ6N,262487165,2022,VOLVO,S60,Passenger,22,Used,Original Title,March 27 2024,2024,King,SAMMAMISH,WA,98074
Plug-in Hybrid Electric Vehicle (PHEV),1C4RJYD65R,259991364,2024,JEEP,Grand Cherokee,Passenger,25,New,Original Title,December 19 2023,2023,King,SEATTLE,WA,98118
Plug-in Hybrid Electric Vehicle (PHEV),3MW39FF05P,227144802,2023,BMW,330e,Passenger,22,New,Original Title,November 29 2022,2022,Thurston,OLYMPIA,WA,98502
Plug-in Hybrid Electric Vehicle (PHEV),WA1E2AFY3R,266640489,2024,AUDI,Q5 e,Passenger,23,New,Original Registration,June 05 2024,2024,King,SEATTLE,WA,98136
Battery Electric Vehicle (BEV),2T3YL4DV2C,236261847,2012,TOYOTA,RAV4,Passenger,103,Used,Original Registration,May 22 2023,2023,King,BELLEVUE,WA,98008
Battery Electric Vehicle (BEV),1V2CMPE8XP,240064870,2023,VOLKSWAGEN,ID.4,Passenger,0,New,Original Registration,June 23 2023,2023,Clark,VANCOUVER,WA,98684
Plug-in Hybrid Electric Vehicle (PHEV),WBA7J2C56H,172509382,2017,BMW,740e,Passenger,14,New,Original Registration,February 03 2017,2017,King,YARROW POINT,WA,98004
Plug-in Hybrid Electric Vehicle (PHEV),WBA33AG00N,205042757,2022,BMW,530e,Passenger,18,Used,Registration Renewal,May 05 2023,2023,King,SAMMAMISH,WA,98074
Battery Electric Vehicle (BEV),5YJXCBE58M,202118325,2021,TESLA,Model X,Passenger,0,New,Original Registration,June 28 2022,2022,King,BELLEVUE,WA,98004
Battery Electric Vehicle (BEV),WBY8P2C0XL,260581989,2020,BMW,i3,Passenger,153,Used,Original Registration,February 07 2024,2024,King,SEATTLE,WA,98109
